file,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1280,720,0,0,0,0,0
2.jpg,1280,720,0,0,0,0,0
3.jpg,1280,720,0,0,0,0,0
4.jpg,1280,720,0,0,0,0,0
5.jpg,1280,720,0,0,0,0,0
6.jpg,1280,720,0,0,0,0,0
7.jpg,1280,720,0,0,0,0,0
8.jpg,1280,720,0,0,0,0,0
9.jpg,1280,720,0,0,0,0,0
10.jpg,1280,720,0,0,0,0,0
11.jpg,1280,720,0,0,0,0,0
12.jpg,1280,720,1,482,346,953,586
13.jpg,1280,720,0,0,0,0,0
14.jpg,1280,720,0,0,0,0,0
15.jpg,1280,720,0,0,0,0,0
16.jpg,1280,720,0,0,0,0,0
17.jpg,1280,720,0,0,0,0,0
18.jpg,1280,720,1,527,405,1020,621
19.jpg,1280,720,0,0,0,0,0
20.jpg,1280,720,0,0,0,0,0
21.jpg,1280,720,0,0,0,0,0
22.jpg,1280,720,0,0,0,0,0
23.jpg,1280,720,0,0,0,0,0
24.jpg,1280,720,0,0,0,0,0
25.jpg,1280,720,0,0,0,0,0
26.jpg,1280,720,0,0,0,0,0
27.jpg,1280,720,0,0,0,0,0
28.jpg,1280,720,0,0,0,0,0
29.jpg,1280,720,0,0,0,0,0
30.jpg,1280,720,0,0,0,0,0
31.jpg,1280,720,0,0,0,0,0
32.jpg,1280,720,1,378,244,1135,606
33.jpg,1280,720,1,422,303,1210,586
34.jpg,1280,720,1,573,237,849,471
35.jpg,1280,720,1,566,221,858,446
36.jpg,1280,720,1,687,339,792,479
37.jpg,1280,720,1,596,257,828,357
38.jpg,1280,720,1,1016,401,1066,449
39.jpg,1280,720,1,986,469,1031,500
40.jpg,1280,720,0,0,0,0,0
41.jpg,1280,720,0,0,0,0,0
42.jpg,1280,720,0,0,0,0,0
43.jpg,1280,720,0,0,0,0,0
44.jpg,1280,720,0,0,0,0,0
45.jpg,1280,720,0,0,0,0,0
46.jpg,1280,720,0,0,0,0,0
47.jpg,1280,720,0,0,0,0,0
48.jpg,1280,720,1,551,232,618,324
49.jpg,1280,720,0,0,0,0,0
50.jpg,1280,720,0,0,0,0,0
51.jpg,1280,720,1,863,134,1105,310
52.jpg,1280,720,0,0,0,0,0
53.jpg,1280,720,0,0,0,0,0
54.jpg,1280,720,1,112,340,282,526
55.jpg,1280,720,1,3,282,171,557
56.jpg,1280,720,1,672,347,778,458
57.jpg,1280,720,0,0,0,0,0
58.jpg,1280,720,1,1074,179,1150,244
59.jpg,1280,720,1,2,119,284,271
60.jpg,1280,720,1,777,418,1089,572
61.jpg,1280,720,1,751,374,972,536
62.jpg,1280,720,1,622,392,776,488
